pagina_pdf;codigo;descripcion;aec;ex_aec;regimen_importacion;regimen_exportacion;regimen_fisica;unidad
;;SECCIÓN I;;;;;;
;;ANIMALES VIVOS Y PRODUCTOS DEL REINO ANIMAL;;;;;;
;;Notas.;;;;;;
;;1. En esta Sección, cualquier referencia a un género o a una especie determinada de un animal se aplica también, salvo disposición en contrario, a los animales;;;;;;
;;jóvenes de ese género o de esa especie.;;;;;;
;;2. Salvo disposición en contrario, cualquier referencia en la Nomenclatura a productos secos o desecados alcanza también a los productos deshidratados,;;;;;;
;;evaporados o liofilizados.;;;;;;
;;Nota Complementaria.;;;;;;
;;1. En las subpartidas correspondientes a los Capítulos 1 y 3, las expresiones Reproductores de raza pura, para reproducción o cría industrial, para lidia y para;;;;;;
;;carrera, comprenden los animales considerados como tales por la autoridad nacional competente.;;;;;;
;;CAPÍTULO 1;;;;;;
;;ANIMALES VIVOS;;;;;;
;;Nota.;;;;;;
;;1. Este Capítulo comprende todos los animales vivos, excepto:;;;;;;
;;"a) los peces, los crustáceos, moluscos y demás invertebrados acuáticos, de las partidas 03.01, 03.06, 03.07 o 03.08;";;;;;;
;;"b) los cultivos de microorganismos y demás productos de la partida 30.02;";;;;;;
;;c) los animales de la partida 95.08.;;;;;;
;;Notas Complementarias:;;;;;;
;;1. En la subpartida 0102.2 la expresión “bovinos domésticos” comprende los animales de las especies “Bos primigenius Taurus (Bos Taurus)” y “Bos primigenius;;;;;;
;;Indicus (Bos Indicus)”.;;;;;;
;;2. En las subpartidas 0105.94.00.10 y 0105.99.00.10, la expresión “especímenes de interés genético”, comprende los animales considerados como tales por la;;;;;;
;;autoridad nacional con competencia en materia de agricultura.;;;;;;
;0206.21.00.00;Lenguas;10;;3,5,6;;;kg
;0206.22.00.00;Hígados;10;;3,5,6;;;kg
;0206.29;- - Los demás:;;;;;;
;0206.29.10.00;Los demás: - Colas (rabos);10;;3,5,6;;;kg
;0206.29.90.00;Los demás: - Los demás;10;;3,5,6;;;kg
;0206.30.00.00;De la especie porcina, frescos o refrigerados;10;;3,5,6;;;kg
;;0206.4 - De la especie porcina, congelados:;;;;;;
;0206.41.00.00;Hígados;10;;3,5,6;;;kg
;0206.49.00.00;Los demás;10;;3,5,6;;;kg
;0206.80.00.00;Los demás, frescos o refrigerados;10;;3,5,6;;;kg
;0206.90.00.00;Los demás, congelados;10;;3,5,6;;;kg
;02.07;CARNE Y DESPOJOS COMESTIBLES, DE AVES DE LA PARTIDA 01.05, FRESCOS, REFRIGERADOS O CONGELADOS.;;;;;;
;;FRESCOS, REFRIGERADOS O CONGELADOS.;;;;;;
;;0207.1 - De aves de la especie Gallus domesticus:;;;;;;
;0207.11.00.00;Sin trocear, frescos o refrigerados;10;20E;3,5,6;;;kg
;0207.12.00.00;Sin trocear, congelados;10;20E;3,5,6;;;kg
;0207.13.00.00;Trozos y despojos, frescos o refrigerados;10;20E;3,5,6;;;kg
;0207.14.00.00;Trozos y despojos, congelados;10;20E;3,5,6;;;kg
;;0207.2 - De pavo (gallipavo):;;;;;;
;0207.24.00.00;Sin trocear, frescos o refrigerados;10;;3,5,6;;;kg
;0207.25.00.00;Sin trocear, congelados;10;;3,5,6;;;kg
;0207.26.00.00;Trozos y despojos, frescos o refrigerados;10;;3,5,6;;;kg
;0207.27.00.00;Trozos y despojos, congelados;10;;3,5,6;;;kg
;;0207.4 - De pato:;;;;;;
;0207.41.00.00;Sin trocear, frescos o refrigerados;10;20E;3,5,6;;;kg
;0207.42.00.00;Sin trocear, congelados;10;20E;3,5,6;;;kg
;0207.43.00.00;Hígados grasos, frescos o refrigerados;10;;3,5,6;;;kg
;0207.44.00.00;Los demás, frescos o refrigerados;10;;3,5,6;;;kg
;0207.45.00.00;Los demás, congelados;10;;3,5,6;;;kg
;;0207.5 - De ganso:;;;;;;
;0207.51.00.00;Sin trocear, frescos o refrigerados;10;;3,5,6;;;kg
;0207.52.00.00;Sin trocear, congelados;10;;3,5,6;;;kg
;0207.53.00.00;Hígados grasos, frescos o refrigerados;10;;3,5,6;;;kg
;0207.54.00.00;Los demás, frescos o refrigerados;10;;3,5,6;;;kg
;0207.55.00.00;Los demás, congelados;10;;3,5,6;;;kg
;0207.60.00.00;De pintada;10;;3,5,6;;;kg
;02.08;LAS DEMÁS CARNES Y DESPOJOS COMESTIBLES, FRESCOS, REFRIGERADOS O CONGELADOS.;;;;;;
;;REFRIGERADOS O CONGELADOS.;;;;;;
;0208.10.00.00;De conejo o liebre;10;;3,5,6;;;kg
;0208.30.00.00;De primates;10;;3,5,6;;;kg
;0208.40.00.00;"De ballenas, delfines y marsopas (mamíferos del orden Cetacea); de manatíes";;;;;;
;;"y dugones o dugongos (mamíferos del orden Sirenia); de otarios y focas,";;;;;;
;;leones marinos y morsas (mamíferos del suborden Pinnipedia) 10 5,10 kg;;;;;;
;0208.50.00.00;De reptiles (incluidas las serpientes y tortugas de mar);10;;5,10;;;kg
;0208.60.00.00;De camellos y demás camélidos (Camelidae );10;;3,5,6;;;kg
;0208.90.00.00;Las demás;10;;3,5,6;;;kg
;02.09;TOCINO SIN PARTES MAGRAS Y GRASA DE CERDO O DE AVE SIN FUNDIR NI EXTRAER DE OTRO MODO, FRESCOS, REFRIGERADOS, CONGELADOS, SALADOS O EN SALMUERA, SECOS O AHUMADOS.;;;;;;
;;FUNDIR NI EXTRAER DE OTRO MODO, FRESCOS, REFRIGERADOS,;;;;;;
;;CONGELADOS, SALADOS O EN SALMUERA, SECOS O AHUMADOS.;;;;;;
;0209.10;- De cerdo:;;;;;;
;0209.10.1;- - Tocino:;;;;;;
;0209.10.11.00;De cerdo: - Tocino: - Fresco, refrigerado o congelado;6;;3,5,6;;;kg
